year,month,total_trips,total_fare_amt,total_dist_amt,avg_fare,avg_distance,date,year_cat
2023,2,2850779,77740115.3599959,9569087.820000065,27.269779719857592,3.356657187386348,2023-02,2023
2023,1,2998546,82029038.23999687,10257835.87000005,27.356271419546964,3.420936637290223,2023-01,2023
2023,6,3232011,94954221.5900059,11732422.270000024,29.379300253002203,3.630068793082704,2023-06,2023
2024,12,3527343,103420677.19000515,11731889.800000118,29.319710952409547,3.325984969423194,2024-12,2024
2024,11,3521681,100054850.25000347,11764680.61000008,28.411105449358836,3.340643462596436,2024-11,2024
2024,10,3695241,108239215.07000911,12886747.750000162,29.29151713515008,3.4873903352988784,2024-10,2024
2024,8,2872756,83836775.77000476,10543126.700000085,29.18339593408029,3.6700390496095334,2024-08,2024
2024,7,2982397,86219585.47000295,10716163.390000038,28.90949309230225,3.5931377982207056,2024-07,2024
2024,9,3500099,102789430.01001084,12376954.270000098,29.36757789137131,3.5361726254029096,2024-09,2024
2024,5,3629226,104932312.28000662,12449101.810000105,28.913138029983973,3.43023603655438,2024-05,2024
2024,4,3428564,96294142.40000518,11639394.230000008,28.085852386015013,3.394830672549793,2024-04,2024
2024,3,3454703,95891669.34000717,11608800.020000005,27.75684895054862,3.360288864194695,2024-03,2024
2024,2,2906303,79048849.02000037,9361093.76000002,27.199107945730493,3.2209627695391774,2024-02,2024
2024,1,2871994,78484342.84000005,9463031.540000036,27.32747451422254,3.294934300002032,2024-01,2024
2024,6,3441447,98399712.71000533,11790069.42000006,28.592540495322268,3.425904690672284,2024-06,2024
2025,9,4052959,116426373.95000078,14692443.41000036,28.726264921505688,3.62511523309275,2025-09,2025
2025,8,3386212,93968111.58000585,12940950.630000234,27.750215160777252,3.8216599049321878,2025-08,2025
2025,7,3703169,103564640.1500019,13418489.070000142,27.96649036271418,3.6235151757859665,2025-07,2025
2025,6,4118462,116577464.37999938,14833315.350000573,28.306067745677726,3.601663764288847,2025-06,2025
2025,3,3977325,108021183.70000295,13253806.290000292,27.159254951507094,3.332341784993756,2025-03,2025
2025,4,3810886,105162391.7400007,12815881.540000174,27.59526045649245,3.36296639154259,2025-04,2025
2025,2,3426130,88542362.669996,10688896.460000157,25.84325833228628,3.1198163700735693,2025-02,2025
2025,1,3325417,87550092.250005,10529658.820000177,26.32755298057507,3.166417571089634,2025-01,2025
2025,10,4203406,118508695.12000585,15025021.260000262,28.193492401163688,3.5744872753191728,2025-10,2025
2025,5,4347825,122340157.61000349,15373455.150000345,28.138243284861623,3.5358955684739715,2025-05,2025
2025,11,3954431,106305822.42999981,13940751.470000165,26.88271016234695,3.5253495306910563,2025-11,2025
